data_type,regime,Xdim,ydim,nsamples,learning_algo,lr,update_noise,label_noise,loss,active,active_units,log_tau,eig_sum,eig_max,eig_nonzero,link,sim_len
random,rich,20,5,5,SGD,0.1,0.028117686979742307,0,-3.2773698934265463,0.03278688524590165,0.05555555555555555,-5.300008922051489,0.3686599413237497,0.8116858756895732,0.024346153846153844,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/100/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.029470517025518096,0,-1.0871756646763473,0.014545454545454547,0.02666666666666666,-5.129604344071395,0.273499409182928,0.7668718233898401,0.012423076923076922,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/101/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.030888435964774818,0,-1.2699261069704026,0.019841269841269837,0.02857142857142857,-4.958723081982983,0.3454104506157395,0.7700858422871645,0.015884615384615382,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/102/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.032374575428176434,0,-1.0084182072109624,0.018181818181818184,0.031249999999999993,-4.765206644573582,0.23506542211040324,0.6899337199703511,0.012884615384615387,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/103/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.03393221771895328,0,-2.6972123116268527,0.028000000000000004,0.060606060606060594,-5.0624564279826805,0.6083829861712986,0.9761314775203793,0.024692307692307694,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/104/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.03556480306223128,0,-1.5014929465147036,0.02390438247011952,0.02702702702702702,-5.086713072693859,0.19157675202889687,0.6410897038319728,0.012730769230769231,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/105/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.0372759372031494,0,-1.8824801408523826,0.019841269841269837,0.04000000000000001,-4.929724311052394,0.4272992248550961,0.8611513510867753,0.02280769230769231,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/106/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.03906939937054617,0,-1.1717609831174234,0.015037593984962409,0.02666666666666666,-4.931126825787219,0.24747868160143868,0.571266229144279,0.012115384615384616,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/107/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.04498432668969444,0,-1.5766897219238296,0.02325581395348837,0.031249999999999993,-4.983979642395785,0.26102085157923155,0.7743401008735392,0.012423076923076922,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/110/\plot.html,9999999
random,rich,20,5,5,SGD,0.1,0.04714866363457394,0,-1.2218722510140803,0.01976284584980237,0.02597402597402597,-4.916084695837057,0.21913727619875556,0.7005725100468618,0.011923076923076922,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//SGD_update_noise/111/\plot.html,9999999
